化合物,英文名,化学式,SMILES,分子量,DENSITY,CALORICITY,MELTING,,气相能量(Hartree),液相能量,△Gsol,x1,cavity surface area,SASA*T(x2),蒸发焓(KJ/mol),蒸发焓(Kcal/mol),C原子数,H原子数,气相能量(Kcal/mol),燃烧焓(kcal/mol),O2 needed(mol),O2校正后(kcal/mol)
环己烷,clohexane,C6H12,C1CCCCC1,84.16,0.7739,44.92 ,6.7,,-235.719,-235.77,-0.051,-32.0030 ,130.515,38913.04725,36.4423 ,8.7099 ,6,12,-147916.02969,-668.410 ,9,-903.081 
甲基环己烷,methylcyclohexane,C7H14,CC1CCCCC1,98.19,0.7694,44.97 ,-126.6,,-275.005,-275.0681,-0.0631,-39.5959 ,149.332,44523.3358,40.1164 ,9.5881 ,7,14,-172568.38755,-780.699 ,10.5,-1054.867 
乙基环己烷,ethylcyclohexane,C8H16,CCC1CCCCC1,112.22,0.788,45.01 ,-111.28,,-314.292,-314.3627,-0.0707,-44.3650 ,167.565,49959.50475,44.3364 ,10.5967 ,8,16,-197221.37292,-892.230 ,12,-1206.641 
"1,3-二甲基环己烷","1,3-Dimethylcyclohexane",C8H16,CC1CC(C)CCC1,112.22,0.766,45.01 ,-75.51,,-314.293,-314.3659,-0.0729,-45.7455 ,167.731,50008.99765,44.0339 ,10.5244 ,8,16,-197222.00043,-891.675 ,12,-1206.632 
丙基环己烷,propylcyclohexane,C9H18,CCCC1CCCCC1,126.24,0.7936,45.04 ,-94.86,,-353.577,-353.6582,-0.0812,-50.9538 ,188.205,56113.32075,48.8101 ,11.6659 ,9,18,-221873.10327,-1004.956 ,13.5,-1358.434 
"1,2,4-三甲基环己烷",,C9H18,CC1C(C)CC(C)CC1,126.24,0.79,45.10 ,-86.3,,-353.3975,-353.404,-0.0065,-4.0788 ,187.379,55867.04885,60.5170 ,14.4639 ,9,18,-221760.465225,-1114.796 ,13.5,-1360.191 
正丁基环己烷,n-butylcyclohexane,C10H20,CCCCC1CCCCC1,140.27,0.7902,45.07 ,-74.68,,-392.867,-392.9539,-0.0869,-54.5306 ,209.982,62606.1333,54.3908 ,12.9997 ,10,20,-246527.97117,-1114.279 ,15,-1510.172 
1-甲基-2-丙基环己烷,1-methyl-2-propylcyclohexane,C10H20,CC1C(CCC)CCCC1,140.27,0.777,45.13 ,-84.33,,,,,,,,,,,,,,,
1-甲基-1-环己烯,1-methyl-1-cyclohexene,C7H12,CC1=CCCCC1,96.17,0.811,43.79 ,-119.4,,-273.661,-273.668,-0.007,-4.3926 ,145.079,43255.30385,47.8252 ,11.4305 ,7,12,-171725.01411,-854.855 ,10,-1006.057 
苯,benzene,C6H6,C1=CC=CC=C1,78.11,0.8765,40.30 ,5.5,,-232.163,-232.151329,0.011671,7.3237 ,112.338,33493.5747,41.0511 ,9.8115 ,6,6,-145684.60413,-596.609 ,7.5,-751.942 
甲苯,toluene,C7H8,CC1=CC=CC=C1,92.14,0.8623,41.06 ,-95,,-271.444,-271.4505,-0.0065,-4.0788 ,132.565,39524.25475,44.1742 ,10.5579 ,7,8,-170333.82444,-712.168 ,9,-903.781 
邻-二甲基苯,"1,2-dimethylbenzene (o-xylene)",C8H10,CC1=CC=CC=C1C,106.17,0.8755,41.62 ,-25.16,,-310.734,-310.7507,-0.0167,-10.4794 ,150.433,44851.59895,47.8693 ,11.4411 ,8,10,-194988.69234,-821.942 ,10.5,-1055.527 
间-二甲基苯,,,CC1=CC=CC(C)=C1,,0.868,41.62 ,-47.85,,,,,,,,,,,,,,,
